user_id,month,plan,base_price,discount_pct,revenue,Payment_Failed
U1000,2026-01,Basic,199,0,199,FALSE
U1000,2025-09,Basic,199,0,199,FALSE
U1000,2025-10,Basic,199,20,159.2,FALSE
U1000,2025-08,Standard,499,0,499,FALSE
U1000,2025-12,Basic,199,0,199,FALSE
U1001,2026-01,Premium,999,0,999,FALSE
U1001,2025-08,Premium,999,10,899.1,FALSE
U1001,2025-12,Premium,999,0,0,FALSE
U1001,2025-09,Premium,999,0,999,FALSE
U1001,2025-11,Premium,999,10,899.1,FALSE
U1002,2026-01,Premium,999,30,699.3,FALSE
U1002,2025-11,Premium,999,10,899.1,FALSE
U1002,2025-12,Premium,999,0,999,FALSE
U1002,2025-09,Premium,999,0,999,FALSE
U1003,2025-08,Premium,999,0,999,FALSE
U1003,2025-09,Premium,999,0,999,FALSE
U1003,2026-01,Premium,999,0,999,FALSE
U1003,2025-11,Premium,999,0,999,FALSE
U1003,2025-10,Premium,999,0,999,FALSE
U1003,2025-12,Premium,999,0,0,TRUE
U1004,2025-09,Basic,199,0,199,FALSE
U1004,2025-08,Basic,199,0,199,FALSE
U1004,2025-12,Basic,199,20,159.2,FALSE
U1004,2025-11,Basic,199,0,0,TRUE
U1004,2026-01,Basic,199,0,199,FALSE
U1004,2025-10,Basic,199,0,199,FALSE
U1005,2025-11,Standard,499,0,499,FALSE
U1005,2025-12,Standard,499,0,499,FALSE
U1005,2026-01,Basic,199,0,199,FALSE
U1005,2025-10,Standard,499,0,499,FALSE
U1005,2025-08,Standard,499,0,499,FALSE
U1005,2025-09,Standard,499,0,499,FALSE
U1006,2025-12,Basic,199,30,139.3,FALSE
U1006,2025-10,Basic,199,0,199,FALSE
U1006,2026-01,Basic,199,0,199,FALSE
U1006,2025-11,Basic,199,0,199,FALSE
U1006,2025-09,Basic,199,0,199,FALSE
U1006,2025-08,Basic,199,0,199,FALSE
U1007,2026-01,Standard,499,0,499,FALSE
U1007,2025-11,Standard,499,0,499,FALSE
U1007,2025-09,Standard,499,20,399.2,FALSE
U1007,2025-08,Standard,499,0,499,FALSE
U1007,2025-10,Standard,499,0,0,TRUE
U1007,2025-12,Standard,499,20,399.2,FALSE
U1008,2025-08,Standard,499,0,499,FALSE
U1008,2025-10,Standard,499,0,499,FALSE
U1008,2025-11,Standard,499,0,499,FALSE
U1008,2025-09,Standard,499,0,499,FALSE
U1008,2026-01,Standard,499,0,499,FALSE
U1008,2025-12,Standard,499,30,349.3,FALSE
U1009,2025-08,Premium,999,0,999,FALSE
U1009,2025-09,Premium,999,0,999,FALSE
U1009,2025-10,Premium,999,0,999,FALSE
U1009,2025-12,Premium,999,0,999,FALSE
U1009,2026-01,Standard,499,0,499,FALSE
U1009,2025-11,Premium,999,0,999,FALSE
U1010,2025-12,Basic,199,0,199,FALSE
U1010,2026-01,Basic,199,0,199,FALSE
U1010,2025-10,Standard,499,30,349.3,FALSE
U1010,2025-09,Premium,999,0,999,FALSE
U1010,2025-11,Standard,499,30,349.3,FALSE
